date,Thread-Gen-1.sinusoid
11/6/2018 7:33:01.000000000 PM,-17
11/6/2018 7:33:02.000000000 PM,-19
11/6/2018 7:33:03.000000000 PM,-20
11/6/2018 7:33:04.000000000 PM,-22
11/6/2018 7:33:05.000000000 PM,-24
11/6/2018 7:33:06.000000000 PM,-25
11/6/2018 7:33:07.000000000 PM,-27
11/6/2018 7:33:08.000000000 PM,-29
11/6/2018 7:33:09.000000000 PM,-30
11/6/2018 7:33:10.000000000 PM,-32
11/6/2018 7:33:11.000000000 PM,-34
11/6/2018 7:33:12.000000000 PM,-35
11/6/2018 7:33:13.000000000 PM,-37
11/6/2018 7:33:14.000000000 PM,-39
11/6/2018 7:33:15.000000000 PM,-40
11/6/2018 7:33:16.000000000 PM,-42
11/6/2018 7:33:17.000000000 PM,-43
11/6/2018 7:33:18.000000000 PM,-45
11/6/2018 7:33:19.000000000 PM,-46
11/6/2018 7:33:20.000000000 PM,-48
11/6/2018 7:33:21.000000000 PM,-50
11/6/2018 7:33:22.000000000 PM,-51
11/6/2018 7:33:23.000000000 PM,-52
11/6/2018 7:33:24.000000000 PM,-54
11/6/2018 7:33:25.000000000 PM,-55
11/6/2018 7:33:26.000000000 PM,-57
11/6/2018 7:33:27.000000000 PM,-58
11/6/2018 7:33:28.000000000 PM,-60
11/6/2018 7:33:29.000000000 PM,-61
11/6/2018 7:33:30.000000000 PM,-62
11/6/2018 7:33:31.000000000 PM,-64
11/6/2018 7:33:33.000000000 PM,-65
11/6/2018 7:33:34.000000000 PM,-66
11/6/2018 7:33:35.000000000 PM,-68
11/6/2018 7:33:36.000000000 PM,-69
11/6/2018 7:33:37.000000000 PM,-70
11/6/2018 7:33:38.000000000 PM,-71
11/6/2018 7:33:39.000000000 PM,-73
11/6/2018 7:33:40.000000000 PM,-74
11/6/2018 7:33:41.000000000 PM,-75
11/6/2018 7:33:42.000000000 PM,-76
11/6/2018 7:33:43.000000000 PM,-77
11/6/2018 7:33:44.000000000 PM,-78
11/6/2018 7:33:45.000000000 PM,-79
11/6/2018 7:33:46.000000000 PM,-80
11/6/2018 7:33:47.000000000 PM,-81
11/6/2018 7:33:48.000000000 PM,-82
11/6/2018 7:33:49.000000000 PM,-83
11/6/2018 7:33:50.000000000 PM,-84
11/6/2018 7:33:51.000000000 PM,-85
11/6/2018 7:33:52.000000000 PM,-86
11/6/2018 7:33:53.000000000 PM,-87
11/6/2018 7:33:54.000000000 PM,-88
11/6/2018 7:33:55.000000000 PM,-89
11/6/2018 7:33:56.000000000 PM,-89
11/6/2018 7:33:57.000000000 PM,-90
11/6/2018 7:33:58.000000000 PM,-91
11/6/2018 7:33:59.000000000 PM,-92
11/6/2018 7:34:00.000000000 PM,-92
11/6/2018 7:34:01.000000000 PM,-93
11/6/2018 7:34:02.000000000 PM,-93
11/6/2018 7:34:03.000000000 PM,-94
11/6/2018 7:34:04.000000000 PM,-95
11/6/2018 7:34:05.000000000 PM,-95
11/6/2018 7:34:06.000000000 PM,-96
11/6/2018 7:34:07.000000000 PM,-96
11/6/2018 7:34:08.000000000 PM,-97
11/6/2018 7:34:09.000000000 PM,-97
11/6/2018 7:34:10.000000000 PM,-97
11/6/2018 7:34:11.000000000 PM,-98
11/6/2018 7:34:12.000000000 PM,-98
11/6/2018 7:34:14.000000000 PM,-98
11/6/2018 7:34:15.000000000 PM,-99
11/6/2018 7:34:16.000000000 PM,-99
11/6/2018 7:34:17.000000000 PM,-99
11/6/2018 7:34:18.000000000 PM,-99
11/6/2018 7:34:19.000000000 PM,-99
11/6/2018 7:34:20.000000000 PM,-99
11/6/2018 7:34:21.000000000 PM,-99
11/6/2018 7:34:22.000000000 PM,-99
11/6/2018 7:34:23.000000000 PM,-100
11/6/2018 7:34:24.000000000 PM,-99
11/6/2018 7:34:25.000000000 PM,-99
11/6/2018 7:34:26.000000000 PM,-99
11/6/2018 7:34:27.000000000 PM,-99
11/6/2018 7:34:28.000000000 PM,-99
11/6/2018 7:34:29.000000000 PM,-99
11/6/2018 7:34:30.000000000 PM,-99
11/6/2018 7:34:31.000000000 PM,-99
11/6/2018 7:34:32.000000000 PM,-98
11/6/2018 7:34:33.000000000 PM,-98
11/6/2018 7:34:34.000000000 PM,-98
11/6/2018 7:34:35.000000000 PM,-97
11/6/2018 7:34:36.000000000 PM,-97
11/6/2018 7:34:37.000000000 PM,-97
11/6/2018 7:34:38.000000000 PM,-96
11/6/2018 7:34:39.000000000 PM,-96
11/6/2018 7:34:40.000000000 PM,-95
11/6/2018 7:34:41.000000000 PM,-95
11/6/2018 7:34:42.000000000 PM,-94
11/6/2018 7:34:43.000000000 PM,-93
11/6/2018 7:34:44.000000000 PM,-93
11/6/2018 7:34:45.000000000 PM,-92
11/6/2018 7:34:46.000000000 PM,-92
11/6/2018 7:34:47.000000000 PM,-91
11/6/2018 7:34:48.000000000 PM,-90
11/6/2018 7:34:49.000000000 PM,-89
11/6/2018 7:34:50.000000000 PM,-89
11/6/2018 7:34:51.000000000 PM,-88
11/6/2018 7:34:52.000000000 PM,-87
11/6/2018 7:34:53.000000000 PM,-86
11/6/2018 7:34:54.000000000 PM,-85
11/6/2018 7:34:55.000000000 PM,-84
11/6/2018 7:34:56.000000000 PM,-83
11/6/2018 7:34:57.000000000 PM,-82
11/6/2018 7:34:58.000000000 PM,-81
11/6/2018 7:35:00.000000000 PM,-80
11/6/2018 7:35:01.000000000 PM,-79
11/6/2018 7:35:02.000000000 PM,-78
11/6/2018 7:35:03.000000000 PM,-77
11/6/2018 7:35:09.000000000 PM,-76
11/6/2018 7:35:10.000000000 PM,-75
11/6/2018 7:35:11.000000000 PM,-74
11/6/2018 7:35:12.000000000 PM,-73
11/6/2018 7:35:13.000000000 PM,-71
11/6/2018 7:35:14.000000000 PM,-70
11/6/2018 7:35:15.000000000 PM,-69
11/6/2018 7:35:16.000000000 PM,-68
11/6/2018 7:35:18.000000000 PM,-66
11/6/2018 7:35:19.000000000 PM,-65
11/6/2018 7:35:20.000000000 PM,-64
11/6/2018 7:35:21.000000000 PM,-62
11/6/2018 7:35:22.000000000 PM,-61
11/6/2018 7:35:23.000000000 PM,-60
11/6/2018 7:35:24.000000000 PM,-58
11/6/2018 7:35:25.000000000 PM,-57
11/6/2018 7:35:26.000000000 PM,-55
11/6/2018 7:35:27.000000000 PM,-54
11/6/2018 7:35:28.000000000 PM,-52
11/6/2018 7:35:29.000000000 PM,-51
11/6/2018 7:35:30.000000000 PM,-50
11/6/2018 7:35:31.000000000 PM,-48
11/6/2018 7:35:32.000000000 PM,-46
11/6/2018 7:35:33.000000000 PM,-45
11/6/2018 7:35:34.000000000 PM,-43
11/6/2018 7:35:35.000000000 PM,-42
11/6/2018 7:35:36.000000000 PM,-40
11/6/2018 7:35:37.000000000 PM,-39
11/6/2018 7:35:38.000000000 PM,-37
11/6/2018 7:35:40.000000000 PM,-35
11/6/2018 7:35:41.000000000 PM,-34
11/6/2018 7:35:42.000000000 PM,-32
11/6/2018 7:35:43.000000000 PM,-30
11/6/2018 7:35:44.000000000 PM,-29
11/6/2018 7:35:45.000000000 PM,-27
11/6/2018 7:35:46.000000000 PM,-25
11/6/2018 7:35:47.000000000 PM,-24
11/6/2018 7:35:48.000000000 PM,-22
11/6/2018 7:35:49.000000000 PM,-20
11/6/2018 7:35:50.000000000 PM,-19
11/6/2018 7:35:51.000000000 PM,-17
11/6/2018 7:35:52.000000000 PM,-15
11/6/2018 7:35:53.000000000 PM,-13
11/6/2018 7:35:54.000000000 PM,-12
11/6/2018 7:35:55.000000000 PM,-10
11/6/2018 7:35:56.000000000 PM,-8
11/6/2018 7:35:57.000000000 PM,-6
11/6/2018 7:35:58.000000000 PM,-5
11/6/2018 7:35:59.000000000 PM,-3
11/6/2018 7:36:00.000000000 PM,-1
11/6/2018 7:36:01.000000000 PM,3
11/6/2018 7:36:02.000000000 PM,5
11/6/2018 7:36:03.000000000 PM,6
11/6/2018 7:36:04.000000000 PM,8
11/6/2018 7:36:05.000000000 PM,10
11/6/2018 7:36:06.000000000 PM,12
11/6/2018 7:36:07.000000000 PM,13
11/6/2018 7:36:08.000000000 PM,15
11/6/2018 7:36:09.000000000 PM,17
11/6/2018 7:36:10.000000000 PM,19
11/6/2018 7:36:11.000000000 PM,20
11/6/2018 7:36:12.000000000 PM,22
11/6/2018 7:36:13.000000000 PM,24
11/6/2018 7:36:14.000000000 PM,25
11/6/2018 7:36:15.000000000 PM,27
11/6/2018 7:36:16.000000000 PM,29
11/6/2018 7:36:17.000000000 PM,30
11/6/2018 7:36:18.000000000 PM,32
11/6/2018 7:36:19.000000000 PM,34
11/6/2018 7:36:20.000000000 PM,35
11/6/2018 7:36:21.000000000 PM,37
11/6/2018 7:36:22.000000000 PM,39
11/6/2018 7:36:23.000000000 PM,40
11/6/2018 7:36:24.000000000 PM,42
11/6/2018 7:36:25.000000000 PM,43
11/6/2018 7:36:26.000000000 PM,45
11/6/2018 7:36:27.000000000 PM,46
11/6/2018 7:36:28.000000000 PM,48
11/6/2018 7:36:29.000000000 PM,49
11/6/2018 7:36:31.000000000 PM,51
11/6/2018 7:36:32.000000000 PM,52
11/6/2018 7:36:33.000000000 PM,54
11/6/2018 7:36:34.000000000 PM,55
11/6/2018 7:36:35.000000000 PM,57
11/6/2018 7:36:36.000000000 PM,58
11/6/2018 7:36:37.000000000 PM,60
11/6/2018 7:36:38.000000000 PM,61
11/6/2018 7:36:39.000000000 PM,62
11/6/2018 7:36:40.000000000 PM,64
11/6/2018 7:36:41.000000000 PM,65
11/6/2018 7:36:42.000000000 PM,66
11/6/2018 7:36:43.000000000 PM,68
11/6/2018 7:36:44.000000000 PM,69
11/6/2018 7:36:45.000000000 PM,70
11/6/2018 7:36:46.000000000 PM,71
11/6/2018 7:36:47.000000000 PM,73
11/6/2018 7:36:48.000000000 PM,74
11/6/2018 7:36:49.000000000 PM,75
11/6/2018 7:36:50.000000000 PM,76
11/6/2018 7:36:51.000000000 PM,77
11/6/2018 7:36:52.000000000 PM,78
11/6/2018 7:36:53.000000000 PM,79
11/6/2018 7:36:54.000000000 PM,80
11/6/2018 7:36:55.000000000 PM,81
11/6/2018 7:36:56.000000000 PM,82
11/6/2018 7:36:57.000000000 PM,83
11/6/2018 7:36:58.000000000 PM,84
11/6/2018 7:36:59.000000000 PM,85
11/6/2018 7:37:00.000000000 PM,86
11/6/2018 7:37:01.000000000 PM,87
11/6/2018 7:37:02.000000000 PM,88
11/6/2018 7:37:03.000000000 PM,89
11/6/2018 7:37:04.000000000 PM,89
11/6/2018 7:37:05.000000000 PM,90
11/6/2018 7:37:06.000000000 PM,91
11/6/2018 7:37:07.000000000 PM,92
11/6/2018 7:37:08.000000000 PM,92
11/6/2018 7:37:09.000000000 PM,93
11/6/2018 7:37:10.000000000 PM,93
11/6/2018 7:37:11.000000000 PM,94
11/6/2018 7:37:12.000000000 PM,95
11/6/2018 7:37:13.000000000 PM,95
11/6/2018 7:37:14.000000000 PM,96
11/6/2018 7:37:15.000000000 PM,96
11/6/2018 7:37:16.000000000 PM,97
11/6/2018 7:37:17.000000000 PM,97
11/6/2018 7:37:18.000000000 PM,97
11/6/2018 7:37:19.000000000 PM,98
11/6/2018 7:37:20.000000000 PM,98
11/6/2018 7:37:21.000000000 PM,98
11/6/2018 7:37:22.000000000 PM,99
11/6/2018 7:37:23.000000000 PM,99
11/6/2018 7:37:24.000000000 PM,99
11/6/2018 7:37:25.000000000 PM,99
11/6/2018 7:37:26.000000000 PM,99
11/6/2018 7:37:27.000000000 PM,99
11/6/2018 7:37:28.000000000 PM,99
11/6/2018 7:37:30.000000000 PM,99
11/6/2018 7:37:31.000000000 PM,100
11/6/2018 7:37:32.000000000 PM,99
11/6/2018 7:37:33.000000000 PM,99
11/6/2018 7:37:34.000000000 PM,99
11/6/2018 7:37:35.000000000 PM,99
11/6/2018 7:37:36.000000000 PM,99
11/6/2018 7:37:37.000000000 PM,99
11/6/2018 7:37:38.000000000 PM,99
11/6/2018 7:37:39.000000000 PM,99
11/6/2018 7:37:40.000000000 PM,98
11/6/2018 7:37:41.000000000 PM,98
11/6/2018 7:37:42.000000000 PM,98
11/6/2018 7:37:43.000000000 PM,97
11/6/2018 7:37:44.000000000 PM,97
11/6/2018 7:37:45.000000000 PM,97
11/6/2018 7:37:46.000000000 PM,96
11/6/2018 7:37:47.000000000 PM,96
11/6/2018 7:37:48.000000000 PM,95
11/6/2018 7:37:49.000000000 PM,95
11/6/2018 7:37:50.000000000 PM,94
11/6/2018 7:37:51.000000000 PM,93
11/6/2018 7:37:52.000000000 PM,93
11/6/2018 7:37:53.000000000 PM,92
11/6/2018 7:37:54.000000000 PM,92
11/6/2018 7:37:55.000000000 PM,91
11/6/2018 7:37:56.000000000 PM,90
11/6/2018 7:37:57.000000000 PM,89
11/6/2018 7:37:58.000000000 PM,89
11/6/2018 7:37:59.000000000 PM,88
11/6/2018 7:38:00.000000000 PM,87
11/6/2018 7:38:01.000000000 PM,86
11/6/2018 7:38:02.000000000 PM,85
11/6/2018 7:38:03.000000000 PM,84
11/6/2018 7:38:04.000000000 PM,83
11/6/2018 7:38:05.000000000 PM,82
11/6/2018 7:38:06.000000000 PM,81
11/6/2018 7:38:07.000000000 PM,80
11/6/2018 7:38:09.000000000 PM,79
11/6/2018 7:38:10.000000000 PM,78
11/6/2018 7:38:11.000000000 PM,77
11/6/2018 7:38:12.000000000 PM,76
11/6/2018 7:38:13.000000000 PM,75
11/6/2018 7:38:14.000000000 PM,74
11/6/2018 7:38:15.000000000 PM,73
11/6/2018 7:38:16.000000000 PM,71
11/6/2018 7:38:17.000000000 PM,70
11/6/2018 7:38:18.000000000 PM,69
11/6/2018 7:38:19.000000000 PM,68
11/6/2018 7:38:20.000000000 PM,66
11/6/2018 7:38:21.000000000 PM,65
11/6/2018 7:38:22.000000000 PM,64
11/6/2018 7:38:23.000000000 PM,62
11/6/2018 7:38:24.000000000 PM,61
11/6/2018 7:38:25.000000000 PM,60
11/6/2018 7:38:26.000000000 PM,58
11/6/2018 7:38:27.000000000 PM,57
11/6/2018 7:38:28.000000000 PM,55
11/6/2018 7:38:29.000000000 PM,54
11/6/2018 7:38:30.000000000 PM,52
11/6/2018 7:38:31.000000000 PM,51
11/6/2018 7:38:32.000000000 PM,49
11/6/2018 7:38:33.000000000 PM,48
11/6/2018 7:38:34.000000000 PM,46
11/6/2018 7:38:35.000000000 PM,45
11/6/2018 7:38:36.000000000 PM,43
11/6/2018 7:38:37.000000000 PM,42
11/6/2018 7:38:38.000000000 PM,40
11/6/2018 7:38:39.000000000 PM,39
11/6/2018 7:38:40.000000000 PM,37
11/6/2018 7:38:41.000000000 PM,35
11/6/2018 7:38:42.000000000 PM,34
11/6/2018 7:38:43.000000000 PM,32
11/6/2018 7:38:44.000000000 PM,30
11/6/2018 7:38:45.000000000 PM,29
11/6/2018 7:38:46.000000000 PM,27
11/6/2018 7:38:47.000000000 PM,25
11/6/2018 7:38:48.000000000 PM,24
11/6/2018 7:38:49.000000000 PM,22
11/6/2018 7:38:50.000000000 PM,20
11/6/2018 7:38:51.000000000 PM,19
11/6/2018 7:38:52.000000000 PM,17
11/6/2018 7:38:53.000000000 PM,15
11/6/2018 7:38:54.000000000 PM,13
11/6/2018 7:38:55.000000000 PM,12
11/6/2018 7:38:56.000000000 PM,10
11/6/2018 7:38:57.000000000 PM,8
11/6/2018 7:38:58.000000000 PM,6
11/6/2018 7:39:00.000000000 PM,5
11/6/2018 7:39:01.000000000 PM,3
11/6/2018 7:39:02.000000000 PM,1
11/6/2018 7:39:03.000000000 PM,0
11/6/2018 7:39:04.000000000 PM,-1
11/6/2018 7:39:05.000000000 PM,-3
11/6/2018 7:39:06.000000000 PM,-5
11/6/2018 7:39:07.000000000 PM,-6
11/6/2018 7:39:08.000000000 PM,-8
11/6/2018 7:39:09.000000000 PM,-10
11/6/2018 7:39:10.000000000 PM,-12
11/6/2018 7:39:11.000000000 PM,-13
11/6/2018 7:39:12.000000000 PM,-15
11/6/2018 7:39:13.000000000 PM,-17
11/6/2018 7:39:14.000000000 PM,-19
11/6/2018 7:39:15.000000000 PM,-20
11/6/2018 7:39:16.000000000 PM,-22
11/6/2018 7:39:17.000000000 PM,-24
11/6/2018 7:39:18.000000000 PM,-25
11/6/2018 7:39:19.000000000 PM,-27
11/6/2018 7:39:20.000000000 PM,-29
11/6/2018 7:39:21.000000000 PM,-30
11/6/2018 7:39:22.000000000 PM,-32
11/6/2018 7:39:23.000000000 PM,-34
11/6/2018 7:39:24.000000000 PM,-35
11/6/2018 7:39:25.000000000 PM,-37
11/6/2018 7:39:26.000000000 PM,-39
11/6/2018 7:39:27.000000000 PM,-40
11/6/2018 7:39:28.000000000 PM,-42
11/6/2018 7:39:29.000000000 PM,-43
11/6/2018 7:39:30.000000000 PM,-45
11/6/2018 7:39:31.000000000 PM,-46
11/6/2018 7:39:32.000000000 PM,-48
11/6/2018 7:39:33.000000000 PM,-50
11/6/2018 7:39:34.000000000 PM,-51
11/6/2018 7:39:35.000000000 PM,-52
11/6/2018 7:39:36.000000000 PM,-54
11/6/2018 7:39:37.000000000 PM,-55
11/6/2018 7:39:38.000000000 PM,-57
11/6/2018 7:39:39.000000000 PM,-58
11/6/2018 7:39:40.000000000 PM,-60
11/6/2018 7:39:41.000000000 PM,-61
11/6/2018 7:39:42.000000000 PM,-62
11/6/2018 7:39:43.000000000 PM,-64
11/6/2018 7:39:44.000000000 PM,-65
11/6/2018 7:39:45.000000000 PM,-66
11/6/2018 7:39:46.000000000 PM,-68
11/6/2018 7:39:47.000000000 PM,-69
11/6/2018 7:39:48.000000000 PM,-70
11/6/2018 7:39:49.000000000 PM,-71
11/6/2018 7:39:50.000000000 PM,-73
11/6/2018 7:39:51.000000000 PM,-74
11/6/2018 7:39:52.000000000 PM,-75
11/6/2018 7:39:53.000000000 PM,-76
11/6/2018 7:39:54.000000000 PM,-77
11/6/2018 7:39:55.000000000 PM,-78
11/6/2018 7:39:57.000000000 PM,-79
11/6/2018 7:39:58.000000000 PM,-80
11/6/2018 7:39:59.000000000 PM,-81
11/6/2018 7:40:00.000000000 PM,-82
11/6/2018 7:40:01.000000000 PM,-83
11/6/2018 7:40:02.000000000 PM,-84
11/6/2018 7:40:03.000000000 PM,-85
11/6/2018 7:40:04.000000000 PM,-86
11/6/2018 7:40:05.000000000 PM,-87
11/6/2018 7:40:06.000000000 PM,-88
11/6/2018 7:40:07.000000000 PM,-89
11/6/2018 7:40:08.000000000 PM,-89
11/6/2018 7:40:09.000000000 PM,-90
11/6/2018 7:40:10.000000000 PM,-91
11/6/2018 7:40:11.000000000 PM,-92
11/6/2018 7:40:12.000000000 PM,-92
11/6/2018 7:40:13.000000000 PM,-93
11/6/2018 7:40:14.000000000 PM,-93
11/6/2018 7:40:15.000000000 PM,-94
11/6/2018 7:40:16.000000000 PM,-95
11/6/2018 7:40:17.000000000 PM,-95
11/6/2018 7:40:18.000000000 PM,-96
11/6/2018 7:40:19.000000000 PM,-96
11/6/2018 7:40:20.000000000 PM,-97
11/6/2018 7:40:21.000000000 PM,-97
11/6/2018 7:40:22.000000000 PM,-97
11/6/2018 7:40:23.000000000 PM,-98
11/6/2018 7:40:24.000000000 PM,-98
11/6/2018 7:40:25.000000000 PM,-98
11/6/2018 7:40:26.000000000 PM,-99
11/6/2018 7:40:27.000000000 PM,-99
11/6/2018 7:40:28.000000000 PM,-99
11/6/2018 7:40:29.000000000 PM,-99
11/6/2018 7:40:30.000000000 PM,-99
11/6/2018 7:40:31.000000000 PM,-99
11/6/2018 7:40:32.000000000 PM,-99
11/6/2018 7:40:33.000000000 PM,-99
11/6/2018 7:40:34.000000000 PM,-100
11/6/2018 7:40:35.000000000 PM,-99
11/6/2018 7:40:36.000000000 PM,-99
11/6/2018 7:40:37.000000000 PM,-99
11/6/2018 7:40:38.000000000 PM,-99
11/6/2018 7:40:39.000000000 PM,-99
11/6/2018 7:40:40.000000000 PM,-99
11/6/2018 7:40:42.000000000 PM,-99
11/6/2018 7:40:43.000000000 PM,-99
11/6/2018 7:40:44.000000000 PM,-98
11/6/2018 7:40:45.000000000 PM,-98
11/6/2018 7:40:46.000000000 PM,-98
11/6/2018 7:40:47.000000000 PM,-97
11/6/2018 7:40:48.000000000 PM,-97
11/6/2018 7:40:49.000000000 PM,-97
11/6/2018 7:40:50.000000000 PM,-96
11/6/2018 7:40:51.000000000 PM,-96
11/6/2018 7:40:52.000000000 PM,-95
11/6/2018 7:40:53.000000000 PM,-95
11/6/2018 7:40:54.000000000 PM,-94
11/6/2018 7:40:55.000000000 PM,-93
11/6/2018 7:40:56.000000000 PM,-93
11/6/2018 7:40:57.000000000 PM,-92
11/6/2018 7:40:58.000000000 PM,-92
11/6/2018 7:40:59.000000000 PM,-91
11/6/2018 7:41:00.000000000 PM,-90
11/6/2018 7:41:01.000000000 PM,-89
11/6/2018 7:41:02.000000000 PM,-89
11/6/2018 7:41:03.000000000 PM,-88
11/6/2018 7:41:04.000000000 PM,-87
11/6/2018 7:41:05.000000000 PM,-86
11/6/2018 7:41:06.000000000 PM,-85
11/6/2018 7:41:07.000000000 PM,-84
11/6/2018 7:41:08.000000000 PM,-83
11/6/2018 7:41:09.000000000 PM,-82
11/6/2018 7:41:10.000000000 PM,-81
11/6/2018 7:41:11.000000000 PM,-80
11/6/2018 7:41:12.000000000 PM,-79
11/6/2018 7:41:13.000000000 PM,-78
11/6/2018 7:41:14.000000000 PM,-77
11/6/2018 7:41:15.000000000 PM,-76
11/6/2018 7:41:16.000000000 PM,-75
11/6/2018 7:41:17.000000000 PM,-74
11/6/2018 7:41:18.000000000 PM,-73
11/6/2018 7:41:19.000000000 PM,-71
11/6/2018 7:41:20.000000000 PM,-70
11/6/2018 7:41:21.000000000 PM,-69
11/6/2018 7:41:22.000000000 PM,-68
11/6/2018 7:41:23.000000000 PM,-66
11/6/2018 7:41:24.000000000 PM,-65
11/6/2018 7:41:25.000000000 PM,-64
11/6/2018 7:41:26.000000000 PM,-62
11/6/2018 7:41:27.000000000 PM,-61
11/6/2018 7:41:28.000000000 PM,-60
11/6/2018 7:41:29.000000000 PM,-58
11/6/2018 7:41:30.000000000 PM,-57
11/6/2018 7:41:31.000000000 PM,-55
11/6/2018 7:41:32.000000000 PM,-54
11/6/2018 7:41:33.000000000 PM,-52
11/6/2018 7:41:34.000000000 PM,-51
11/6/2018 7:41:35.000000000 PM,-50
11/6/2018 7:41:36.000000000 PM,-48
11/6/2018 7:41:38.000000000 PM,-46
11/6/2018 7:41:39.000000000 PM,-45
11/6/2018 7:41:40.000000000 PM,-43
11/6/2018 7:41:41.000000000 PM,-42
11/6/2018 7:41:42.000000000 PM,-40
11/6/2018 7:41:43.000000000 PM,-39
11/6/2018 7:41:44.000000000 PM,-37
11/6/2018 7:41:45.000000000 PM,-35
11/6/2018 7:41:46.000000000 PM,-34
11/6/2018 7:41:47.000000000 PM,-32
11/6/2018 7:41:48.000000000 PM,-30
11/6/2018 7:41:49.000000000 PM,-29
11/6/2018 7:41:50.000000000 PM,-27
11/6/2018 7:41:51.000000000 PM,-25
11/6/2018 7:41:52.000000000 PM,-24
11/6/2018 7:41:53.000000000 PM,-22
11/6/2018 7:41:54.000000000 PM,-20
11/6/2018 7:41:55.000000000 PM,-19
11/6/2018 7:41:56.000000000 PM,-17
11/6/2018 7:41:57.000000000 PM,-15
11/6/2018 7:41:58.000000000 PM,-13
11/6/2018 7:41:59.000000000 PM,-12
11/6/2018 7:42:00.000000000 PM,-10
11/6/2018 7:42:01.000000000 PM,-8
11/6/2018 7:42:02.000000000 PM,-6
11/6/2018 7:42:03.000000000 PM,-5
11/6/2018 7:42:04.000000000 PM,-3
11/6/2018 7:42:05.000000000 PM,-1
11/6/2018 7:42:06.000000000 PM,3
11/6/2018 7:42:07.000000000 PM,5
11/6/2018 7:42:08.000000000 PM,6
11/6/2018 7:42:09.000000000 PM,8
11/6/2018 7:42:10.000000000 PM,10
11/6/2018 7:42:11.000000000 PM,12
11/6/2018 7:42:12.000000000 PM,13
11/6/2018 7:42:13.000000000 PM,15
11/6/2018 7:42:14.000000000 PM,17
11/6/2018 7:42:15.000000000 PM,19
11/6/2018 7:42:16.000000000 PM,20
11/6/2018 7:42:17.000000000 PM,22
11/6/2018 7:42:18.000000000 PM,24
11/6/2018 7:42:19.000000000 PM,25
11/6/2018 7:42:20.000000000 PM,27
11/6/2018 7:42:21.000000000 PM,29
11/6/2018 7:42:22.000000000 PM,30
11/6/2018 7:42:23.000000000 PM,32
11/6/2018 7:42:24.000000000 PM,34
